Review,Sentiment
comfortable fit need headset comfortable least hour time entire day,1
also phone seem accept anything except cbr mp preferably ripped windows media player,0
beat price,1
comes strong light use light camera shots even flash sos signals seriously,1
lightweight works well,1
beware,0
love cable allows connect mini usb device pc,1
anyone near hear part conversation,0
cool cases open allowing screen get scratched,1
bought phone replacement startac regretted since,0
appears actually outperform original battery china came v,1
store anything phone numbers sim,0
lasts less minutes actually try use phone wife phone problem,0
poor quality,0
jabra ear gels r best,1
worth,0
phone crashed completely get replaced,0
quit working used months purchased another one best headset ever owned,1
unfortunately recharge iphone despite connecting multiple power sources imac external battery wall outlet etc,0
great phone,1
simply want small flip phone look elsewhere extra bells whistles mediocre,0
good value works fine power via usb car wall outlet,1
phone slide around car grip prevents phone slipping hand,1
simply best bluetooth headset sound quality,1
think plan one sure last moto phone,0
span hour two people exclaim whoa new phone tv,1
always used corded headsets freedom wireless helpful,1
case passed one year mark shows signs wear functional,1
leather nice soft fit tight cut face good shape,1
everything need ask,1
receiving using product days broke,0
product great makes working lot easier go copier waiting hold something,1
none three sizes sent headset would stay ears,0
mobile best customer service anywhere,1
arrived quickly much less expensive others sold,1
tried units failed within months pros,0
provides good protection looks classy,1
krussel always good,1
tracfonewebsite user friendly makes easy toactivate etc,1
design good,1
great reception time,1
would highly recommend product,1
use unit sunglasses good texas,0
dit work time nokia,0
bought mainly charger broke soon purchasing,0
fantastic buy get whatever next phone,1
stay away store careful,0
blueant supertooth hands free phone speaker awesome,1
item arrived quickly works great metro pcs samsung sch r slider phone sony premium sound ear plugs,1
light plenty battery capacity confortable wear somewhat extended periods time,1
disappointing,0
blue ant easy use,1
cheap hey works pleasantly suprised given low cost item,1
camera phone may used dustpan indoors rather using disposable,0
days later puff smoke came phone use,0
convenient simple use gets job done makes car ride much smoother,1
nano stated son dissapointed,0
sound quality excellent well,1
best headset used,1
would reccommend,0
around years carries highest quality anti glare screen protector found date,1
wanted,1
particular model would work motorola q smartphone,0
wont work right atleast,0
addition feels amp looks phone lightweight cheap plastic,0
warranty problems reoccure bottom line put money somewhere else cingular support,0
really wanted plantronics right one many issues good,0
great product,1
crisp clear,1
first charge kept going dead minutes,0
cheap plastic creaks like old wooden floor,0
get absolutely horrible reception apartment phones problem,0
reception generally good,1
excellent sound battery life inconspicuous boot,1
great bluetooth,1
highly recommend case,1
worthwhile,1
phone got year old slowly breaking despite much care part,0
sorry made purchase,0
bought hoping could make bluetooth headset fit better things made impossible wear,0
treo mobile refused replace forced buy another phone without kind upgrade discount,0
horrible,0
think would hold securly belt,0
allows possibility double booking date time first,0
work weeks break,0
simple use like,1
great tool entertainment communication data management oh sure use activesync optimal data synchronization results,1
use case smell disgusting,0
wanted,0
cases would order another,1
bought battery coupon amazon happy purchase,1
internet access fine rare instance worked,0
perfect ps,1
five star plus plus,1
good quality bargain bought bought cheapy big lots sounded awful people end hear,1
drain,0
tried talking real loud shouting telephone gets old still told great,0
good works fine,1
price great deal,1
great price,1
wind completely useless,0
yes shiny front side love,1
work,0
first thought grtting good deal plugged phone v c razr,0
reception headset excellent,1
thumbs seller,1
verizon lg phone work well together good reception range exceeds feet line sight,1
improper description return,0
works comfortable,1
battery charge life quite long,1
jabra eargels fit ears well,1
battery life,0
checked everywhere feature really disappointing,0
product exactly described,1
gets signal verizon phones,1
job,0
would recommend,1
plan ordering,1
said phone camera nice many cool effects play video decent well,1
satisfied cell phone day one,1
keep getting better better third one numerous palms,1
awkward use unreliable,0
shipping time also quick,1
good hoped,0
good case,1
work,0
really good product,1
unfortunately work,0
three broke within two months use,0
dont buy,0
father v battery dying,0
however ear pads come easily one week lost one,0
calls drop phone comes screen goes black worst stops ringing intermittently,0
horrible horrible protector,0
like nokia either,0
reaching bottom row uncomfortable send end keys expect,0
bought nokia cell phone weeks ago nightmare,0
would take long describe bad customer service experience amazon,0
disappointing thing speakerphone,0
terrible car accept cassette,0
product useless since enough charging current charge cellphones planning use,0
says,0
stay away q,0
used dirty,0
unreliable service mobile,0
good enough price,0
bought two neither charge,0
looks nice,1
excellent tool especially paired phone auto answer,1
read reviews problem,1
products cover important light sensor ear outlet,0
comfortable hand,1
work,0
poor reliability,0
works,1
take picture battery drops bar starts beeping letting know dieing,0
terrible product waste money,0
last time buying,0
waste money,0
far worked like charm,1
weeks far good,1
case best part download pictures laptop using ir even send pictures laptop phone,1
would recommend item,1
choice headset years great sound good volume good noise cancellation,1
nice case feels good hands,1
item received counterfeit,0
really good far probably best bt headset ever,1
works fine,1
received headset good time happy,1
pleased see could replace well travled swivel holster blackberry flip,1
sister one also loves,1
good quality,1
far worst purchase made amazon,0
excellent dual purpose headset,1
excellent,1
work listening music cingular,0
seems completely secure holding belt keeping iphone inside,1
bottowm line another worthless cheap gimmick sprint,0
trouble volume,0
good thing fits comfortably small ears,1
warning buy,0
pairing iphone could happier far,1
opens battery connection broken device turned,0
want clip going top ear causing discomfort,0
best headset ever,1
trust website expect helpful support,0
loud glad say plantronics maintains flawless connection cell static normal use,1
speaker low quality making ring tones sound cheap,0
fits comfortably came three sizes earbud tips,1
bad reception,0
product high quality chinese crap,0
quite comfortable ear,1
buy product fails,0
everything product wrong first,0
pairing two devices easy barely took couple minutes started making calls voice dialing feature,1
utterly confusing first caused lose couple important contacts,0
terrible phone holder,0
cutouts buttons placed perfectly,1
love able use one headset land line cell,1
problem ear loops made weak material break easily,0
nearly good looking amazon picture makes look,0
despite flaws case exceptional quality well worth additional costs owning official oem product,1
stupid,0
hear driving car usually even put loudest setting,1
seller shipped quickly much cheaper competitors,1
good show samsung,1
bought saved alot money,1
always cuts makes beep beep beep sound says signal failed,0
figure,0
phone sounded ok great ok wife phone almost totally unintelligible understand word said,0
take battery phone put back together restart,0
managed bend leaf spring back place metal enough stress break next drop,0
leopard print wonderfully wild,1
works,1
saggy floppy piece junk,0
much better hard plastic cases,1
also new problem,0
happy far,1
cool phone,1
works good,1
motorola finally got voice quality bluetooth headset right,1
looses connection phone even within couple feet two,0
great would really recommend,1
makes easier keep bluetooth wearing,0
said pretty useless,0
never got,0
pair headphones worst ever sound wise,0
drain weak snap,0
charge cingular att phone,0
get extra minutes carry call get cut,1
however year fliptop started get loose wobbly eventually screen went black receive place calls,0
kept catching cable seat pull phone turn,0
headset fulfills requirements happy purchase,1
logitech bluetooth headset,1
like fact rests lightly ear rather inside,1
lot websites rating good phone,1
tried cables computer ipod works fine,1
mic joke volume quite low,0
returning,0
maintain connection computer lap,0
easy turn car volume controls quite accessable,1
mine year christmas bought rest family,1
otherwise easy install use clear sound,1
nice leather,1
purchase different case,0
joy use,1
much disappointed company,0
satisifed,1
charge,0
phone get bought say wow,1
buttons small,0
reading specs alone makes say wow,1
love great armband,1
really like product motorola allot clearer ear piece mic,1
however keypads tinny sometimes reach wrong buttons,0
exchanged sony ericson z pretty happy decision,1
impressed price cases,1
also makes easier hold,1
use product motor control center lot high voltage humming equipment works great,1
pretty easy,1
make calls certain places,0
however girl complain time phone wake like normal phone,0
beautiful styling though,1
company charge restocking fee still given refund back,0
trying return refund,0
plugged find darn thing worked,0
excellent product,1
earbud piece breaks easily,0
lousy product,0
phone tries hard everything fails ability phone,0
best charger seen market yet,1
sweetest phone,1
oh charger seems work fine,1
fits securely ear hook even need used sound better directed ear canal,1
enough volume,0
echo problem unsatisfactory,0
could take videos time quality poor,0
waste money,0
going first negatively review product,0
adapter provide enough charging current,0
much hype phone assumed best mistake,0
also take pictures case lense covered,0
phone falls easily,0
work people hear talk,0
text messaging feature really tricky use,0
really disappointed charger work,0
painful ear,0
lasted one day blew,0
disappointed,0
kind flops around,0
screen get smudged easily touches ear face,0
piece junk lose calls phone,0
item match picture,0
thing disappoint infra red port irda,0
answer calls unit never worked,0
